accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.75,0.75,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2784805344764017,"[[4, 0], [2, 2]]",valence,0.7333333333333334,0.75,0.7333333333333334,2,0.5,0,0,0.0,0.5,0.7514703583805593,0.5773502691896258,subject_dependent,rbf_svm,0.6666666666666666,1.0,0.48214285714285715,0.8333333333333333,0.75,0.8333333333333333,0.75,0.75,0.75,0.3125,4,1.0,2,0.5
0.375,0.3666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.252047390310621,"[[2, 3], [2, 1]]",valence,0.36507936507936506,0.375,0.38492063492063494,2,0.6666666666666666,1,3,0.6,-0.25,0.7014464683280217,-0.2581988897471611,subject_dependent,rbf_svm,0.5,0.25,0.4777777777777778,0.375,0.375,0.40625,0.3666666666666667,0.375,0.375,0.6,2,0.4,1,0.3333333333333333
0.375,0.375,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.20196028892792978,"[[1, 3], [2, 2]]",valence,0.36507936507936506,0.375,0.36507936507936506,2,0.5,2,3,0.75,-0.25,0.5937443867401637,-0.2581988897471611,subject_dependent,rbf_svm,0.3333333333333333,0.4,0.8875,0.3666666666666667,0.375,0.3666666666666667,0.375,0.375,0.375,0.875,1,0.25,2,0.5
0.5,0.5,"{""clf__C"": 0.1, ""clf__gamma"": 0.01}",0.25243793208140475,"[[3, 1], [3, 1]]",valence,0.4666666666666667,0.5,0.4666666666666667,3,0.75,3,1,0.25,0.0,0.6980469798066371,0.0,subject_dependent,rbf_svm,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.375,3,0.75,1,0.25
0.5,0.5333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.31612317674626655,"[[2, 1], [3, 2]]",valence,0.5,0.5,0.5,3,0.6,4,1,0.3333333333333333,0.05882352941176472,0.8501575098477159,0.06666666666666667,subject_dependent,rbf_svm,0.4,0.6666666666666666,0.6116666666666666,0.5333333333333333,0.5,0.5666666666666667,0.5333333333333333,0.5,0.5,0.4,2,0.6666666666666666,2,0.4
0.5,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.24928948344181776,"[[3, 1], [3, 1]]",valence,0.4666666666666667,0.5,0.4666666666666667,3,0.75,0,1,0.25,0.0,0.692240962860661,0.0,subject_dependent,rbf_svm,0.5,0.5,0.6041666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,3,0.75,1,0.25
0.5,0.4666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.25746947894818856,"[[1, 2], [2, 3]]",valence,0.4666666666666667,0.5,0.5,2,0.4,1,2,0.6666666666666666,-0.06666666666666665,0.707860891905846,-0.06666666666666667,subject_dependent,rbf_svm,0.3333333333333333,0.6,0.7226190476190476,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,0.4666666666666667,1,0.3333333333333333,3,0.6
0.875,0.875,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3238042019790208,"[[3, 1], [0, 4]]",valence,0.873015873015873,0.875,0.873015873015873,0,0.0,2,1,0.25,0.75,0.8432481869938995,0.7745966692414834,subject_dependent,rbf_svm,1.0,0.8,0.4125,0.9,0.875,0.9,0.875,0.875,0.875,0.1875,3,0.75,4,1.0
0.625,0.5666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.38058762732449947,"[[4, 1], [2, 1]]",valence,0.5636363636363637,0.625,0.6045454545454546,2,0.6666666666666666,3,1,0.2,0.1428571428571429,0.9928216898679743,0.14907119849998599,subject_dependent,rbf_svm,0.6666666666666666,0.5,0.3194444444444444,0.5833333333333333,0.625,0.6041666666666666,0.5666666666666667,0.625,0.625,0.19999999999999998,4,0.8,1,0.3333333333333333
0.75,0.75,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.24508546059886466,"[[3, 1], [1, 3]]",valence,0.75,0.75,0.75,1,0.25,4,1,0.25,0.5,0.6836179080422281,0.5,subject_dependent,rbf_svm,0.75,0.75,0.6041666666666666,0.75,0.75,0.75,0.75,0.75,0.75,0.5625,3,0.75,3,0.75
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.30278680286727,"[[2, 2], [2, 2]]",valence,0.5,0.5,0.5,2,0.5,0,2,0.5,0.0,0.8294483319661183,0.0,subject_dependent,rbf_svm,0.5,0.5,0.5416666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.4375,2,0.5,2,0.5
0.625,0.6333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.18661429352425432,"[[3, 2], [1, 2]]",valence,0.6190476190476191,0.625,0.6309523809523809,1,0.3333333333333333,1,2,0.4,0.25,0.5458499144950659,0.2581988897471611,subject_dependent,rbf_svm,0.75,0.5,0.8666666666666667,0.625,0.625,0.65625,0.6333333333333333,0.625,0.625,0.8666666666666667,3,0.6,2,0.6666666666666666
0.5,0.4666666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.23648934894128748,"[[1, 2], [2, 3]]",valence,0.4666666666666667,0.5,0.5,2,0.4,2,2,0.6666666666666666,-0.06666666666666665,0.6494392393568285,-0.06666666666666667,subject_dependent,rbf_svm,0.3333333333333333,0.6,0.8761904761904762,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,0.7333333333333334,1,0.3333333333333333,3,0.6
0.875,0.875,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.14857217130175593,"[[4, 0], [1, 3]]",valence,0.873015873015873,0.875,0.873015873015873,1,0.25,3,0,0.0,0.75,0.48009119344475637,0.7745966692414834,subject_dependent,rbf_svm,0.8,1.0,1.0,0.9,0.875,0.9,0.875,0.875,0.875,1.0,4,1.0,3,0.75
0.625,0.625,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.24299940457757868,"[[3, 1], [2, 2]]",valence,0.6190476190476191,0.625,0.6190476190476191,2,0.5,4,1,0.25,0.25,0.7274118753815704,0.2581988897471611,subject_dependent,rbf_svm,0.6,0.6666666666666666,0.8125,0.6333333333333333,0.625,0.6333333333333333,0.625,0.625,0.625,0.6875,3,0.75,2,0.5
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.26633927299337185,"[[1, 3], [1, 3]]",valence,0.4666666666666667,0.5,0.4666666666666667,1,0.25,0,3,0.75,0.0,0.7500202567996189,0.0,subject_dependent,rbf_svm,0.5,0.5,0.6845238095238095,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,1,0.25,3,0.75
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.260947050855222,"[[0, 4], [0, 4]]",valence,0.3333333333333333,0.5,0.3333333333333333,0,0.0,1,4,1.0,0.0,0.7158419939575038,0.0,subject_dependent,rbf_svm,0.0,0.5,0.5238095238095238,0.25,0.5,0.25,0.5,0.5,0.5,0.40625,0,0.0,4,1.0
0.25,0.25,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.18954585352540199,"[[0, 4], [2, 2]]",valence,0.2,0.25,0.2,2,0.5,2,4,1.0,-0.5,0.568409282988272,-0.5773502691896258,subject_dependent,rbf_svm,0.0,0.3333333333333333,0.95,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.9375,0,0.0,2,0.5
0.625,0.625,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.37466545912910915,"[[1, 3], [0, 4]]",valence,0.5636363636363637,0.625,0.5636363636363637,0,0.0,3,3,0.75,0.25,1.027943730044735,0.3779644730092272,subject_dependent,rbf_svm,1.0,0.5714285714285714,0.48214285714285715,0.7857142857142857,0.625,0.7857142857142857,0.625,0.625,0.625,0.3125,1,0.25,4,1.0
0.5,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.3302640141139483,"[[0, 4], [0, 4]]",valence,0.3333333333333333,0.5,0.3333333333333333,0,0.0,4,4,1.0,0.0,0.9285276065434859,0.0,subject_dependent,rbf_svm,0.0,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.5,0.375,0,0.0,4,1.0
0.375,0.3,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2577876366275995,"[[3, 2], [3, 0]]",valence,0.2727272727272727,0.375,0.3409090909090909,3,1.0,0,2,0.4,-0.4285714285714286,0.7087454473806376,-0.4472135954999579,subject_dependent,rbf_svm,0.5,0.0,0.41111111111111115,0.25,0.375,0.3125,0.3,0.375,0.375,0.4666666666666667,3,0.6,0,0.0
0.75,0.8,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.35985910106005226,"[[3, 0], [2, 3]]",valence,0.75,0.75,0.75,2,0.4,1,0,0.0,0.5294117647058824,0.9433788159722639,0.6,subject_dependent,rbf_svm,0.6,1.0,0.5726190476190476,0.8,0.75,0.85,0.8,0.75,0.75,0.2666666666666667,3,1.0,3,0.6
0.25,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.1}",0.29254261565054546,"[[0, 6], [0, 2]]",valence,0.2,0.25,0.1,0,0.0,2,6,1.0,0.0,0.7789046393930978,0.0,subject_dependent,rbf_svm,0.0,0.25,0.25,0.125,0.25,0.0625,0.5,0.25,0.25,0.5,0,0.0,2,1.0
0.375,0.3,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.46106922377582477,"[[0, 3], [2, 3]]",valence,0.2727272727272727,0.375,0.3409090909090909,2,0.4,3,3,1.0,-0.4285714285714286,1.4993215891103406,-0.4472135954999579,subject_dependent,rbf_svm,0.0,0.5,0.6926190476190477,0.25,0.375,0.3125,0.3,0.375,0.375,0.4,0,0.0,3,0.6
0.875,0.8333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.3022918401666274,"[[2, 1], [0, 5]]",valence,0.8545454545454545,0.875,0.8681818181818182,0,0.0,4,1,0.3333333333333333,0.7142857142857143,0.7991328667335424,0.7453559924999299,subject_dependent,rbf_svm,1.0,0.8333333333333334,0.5628571428571427,0.9166666666666667,0.875,0.8958333333333334,0.8333333333333333,0.875,0.875,0.33333333333333337,2,0.6666666666666666,5,1.0
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.5313877763394941,"[[2, 2], [4, 0]]",valence,0.2,0.25,0.2,4,1.0,0,2,0.5,-0.5,1.3934586629229155,-0.5773502691896258,subject_dependent,rbf_svm,0.3333333333333333,0.0,0.3654761904761905,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.0,2,0.5,0,0.0
0.625,0.5,"{""clf__C"": 0.1, ""clf__gamma"": 0.1}",0.28154719912924786,"[[5, 0], [3, 0]]",valence,0.38461538461538464,0.625,0.4807692307692308,3,1.0,1,0,0.0,0.0,0.7570705487323235,0.0,subject_dependent,rbf_svm,0.625,0.0,0.375,0.3125,0.625,0.390625,0.5,0.625,0.625,0.5,5,1.0,0,0.0
0.625,0.5666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2991742720059049,"[[1, 2], [1, 4]]",valence,0.5636363636363637,0.625,0.6045454545454546,1,0.2,2,2,0.6666666666666666,0.1428571428571429,0.795205888397604,0.14907119849998599,subject_dependent,rbf_svm,0.5,0.6666666666666666,0.5592857142857143,0.5833333333333333,0.625,0.6041666666666666,0.5666666666666667,0.625,0.625,0.26666666666666666,1,0.3333333333333333,4,0.8
0.125,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.4436051156101043,"[[1, 1], [6, 0]]",valence,0.1111111111111111,0.125,0.05555555555555555,6,1.0,3,1,0.5,-0.2727272727272727,1.1171521367962984,-0.6546536707079772,subject_dependent,rbf_svm,0.14285714285714285,0.0,0.6218253968253968,0.07142857142857142,0.125,0.03571428571428571,0.25,0.125,0.125,0.08333333333333333,1,0.5,0,0.0
0.75,0.8333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.38081300679962277,"[[4, 2], [0, 2]]",valence,0.7333333333333334,0.75,0.7666666666666667,0,0.0,4,2,0.3333333333333333,0.5,0.9724162999902927,0.5773502691896258,subject_dependent,rbf_svm,1.0,0.5,0.20833333333333331,0.75,0.75,0.875,0.8333333333333333,0.75,0.75,0.08333333333333331,4,0.6666666666666666,2,1.0
