accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.625,0.47222222222222215,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[3, 0, 1], [1, 0, 0], [1, 0, 2]]",valence,0.4444444444444444,0.625,0.5833333333333333,,,0,,,0.3142857142857143,0.9553977380736711,0.32579188276750076,subject_dependent,rbf_svm,,,0.6194444444444445,0.4222222222222222,0.625,0.55,0.47222222222222215,0.625,0.625,0.689484126984127,,,,
0.375,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[3, 0, 0], [1, 0, 2], [2, 0, 0]]",valence,0.2222222222222222,0.375,0.25,,,1,,,0.04761904761904767,1.8377434393961896,0.0629940788348712,subject_dependent,rbf_svm,,,0.48862433862433857,0.16666666666666666,0.375,0.1875,0.3333333333333333,0.375,0.375,0.4777777777777777,,,,
0.375,0.375,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.3951867778726459,"[[0, 4], [1, 3]]",valence,0.2727272727272727,0.375,0.2727272727272727,1,0.25,2,4,1.0,-0.25,,-0.3779644730092272,subject_dependent,rbf_svm,0.0,0.42857142857142855,,0.21428571428571427,0.375,0.21428571428571427,0.375,0.375,0.375,,0,0.0,3,0.75
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.37490339441997633,"[[3, 0, 1], [0, 0, 0], [2, 1, 1]]",valence,0.3333333333333333,0.5,0.5,,,3,,,0.11111111111111116,,0.12126781251816648,subject_dependent,rbf_svm,,,,0.3666666666666667,0.5,0.55,0.3333333333333333,0.5,0.5,,,,,
0.625,0.7,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.44870574887264514,"[[3, 0], [3, 2]]",valence,0.6190476190476191,0.625,0.6071428571428571,3,0.6,4,0,0.0,0.33333333333333337,,0.4472135954999579,subject_dependent,rbf_svm,0.5,1.0,,0.75,0.625,0.8125,0.7,0.625,0.625,,3,1.0,2,0.4
0.625,0.6666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [0, 1, 2], [0, 1, 2]]",valence,0.6571428571428571,0.625,0.6142857142857143,,,0,,,0.4285714285714286,1.160821036127502,0.43915503282683993,subject_dependent,rbf_svm,,,0.49484126984126986,0.6666666666666666,0.625,0.625,0.6666666666666666,0.625,0.625,0.42777777777777776,,,,
0.5,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 2, 0], [0, 2, 2]]",valence,0.38888888888888884,0.5,0.41666666666666663,,,1,,,0.19999999999999996,1.0215341123607677,0.22360679774997896,subject_dependent,rbf_svm,,,0.6875,0.3333333333333333,0.5,0.375,0.5,0.5,0.5,0.7291666666666666,,,,
0.5,0.4166666666666667,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [2, 0, 0], [0, 1, 3]]",valence,0.3833333333333333,0.5,0.475,,,2,,,0.19999999999999996,1.1038875192615545,0.20519567041703082,subject_dependent,rbf_svm,,,0.5855158730158729,0.3611111111111111,0.5,0.4583333333333333,0.4166666666666667,0.5,0.5,0.5416666666666666,,,,
0.5,0.49999999999999994,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 0], [0, 2, 1], [1, 1, 1]]",valence,0.4904761904761905,0.5,0.4892857142857143,,,3,,,0.23809523809523814,1.2810615806961951,0.2439750182371333,subject_dependent,rbf_svm,,,0.32195767195767194,0.5,0.5,0.5,0.49999999999999994,0.5,0.5,0.2222222222222222,,,,
0.5,0.3611111111111111,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 3, 1], [0, 2, 1]]",valence,0.3333333333333333,0.5,0.4583333333333333,,,4,,,0.08571428571428574,1.0913376901389493,0.08885233166386385,subject_dependent,rbf_svm,,,0.41838624338624336,0.3111111111111111,0.5,0.425,0.3611111111111111,0.5,0.5,0.3966269841269841,,,,
