accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.625,0.625,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.2675766164813044,"[[3, 1], [2, 2]]",valence,0.6190476190476191,0.625,0.6190476190476191,2,0.5,0,1,0.25,0.25,0.7288353353952208,0.2581988897471611,subject_dependent,rbf_svm,0.6,0.6666666666666666,0.48214285714285715,0.6333333333333333,0.625,0.6333333333333333,0.625,0.625,0.625,0.3125,3,0.75,2,0.5
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2663296960602883,"[[3, 3], [1, 1]]",valence,0.4666666666666667,0.5,0.5333333333333333,1,0.5,1,3,0.5,0.0,0.7266296276707388,0.0,subject_dependent,rbf_svm,0.75,0.25,0.325,0.5,0.5,0.625,0.5,0.5,0.5,0.5,3,0.5,1,0.5
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.30867936058731865,"[[0, 4], [2, 2]]",valence,0.2,0.25,0.2,2,0.5,2,4,1.0,-0.5,0.8124530370068686,-0.5773502691896258,subject_dependent,rbf_svm,0.0,0.3333333333333333,0.3654761904761905,0.16666666666666666,0.25,0.16666666666666666,0.25,0.25,0.25,0.0,0,0.0,2,0.5
0.5,0.5,"{""clf__C"": 0.1, ""clf__gamma"": 0.01}",0.2995363508142357,"[[0, 4], [0, 4]]",valence,0.3333333333333333,0.5,0.3333333333333333,0,0.0,3,4,1.0,0.0,0.8035613100625786,0.0,subject_dependent,rbf_svm,0.0,0.5,0.6,0.25,0.5,0.25,0.5,0.5,0.5,0.375,0,0.0,4,1.0
0.375,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",0.2662629115725257,"[[3, 0], [5, 0]]",valence,0.2727272727272727,0.375,0.20454545454545453,5,1.0,4,0,0.0,0.0,0.7258168874524382,0.0,subject_dependent,rbf_svm,0.375,0.0,0.6392857142857143,0.1875,0.375,0.140625,0.5,0.375,0.375,0.2666666666666667,3,1.0,0,0.0
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.20358351600846356,"[[2, 1], [1, 4]]",valence,0.7333333333333334,0.75,0.75,1,0.2,0,1,0.3333333333333333,0.4666666666666667,0.5978431255693717,0.4666666666666667,subject_dependent,rbf_svm,0.6666666666666666,0.8,0.8350000000000001,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.6666666666666667,2,0.6666666666666666,4,0.8
0.5,0.4666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2781064404495136,"[[1, 2], [2, 3]]",valence,0.4666666666666667,0.5,0.5,2,0.4,1,2,0.6666666666666666,-0.06666666666666665,0.7502384708826233,-0.06666666666666667,subject_dependent,rbf_svm,0.3333333333333333,0.6,0.7892857142857144,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,0.5333333333333333,1,0.3333333333333333,3,0.6
0.875,0.875,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.20901016484587712,"[[3, 1], [0, 4]]",valence,0.873015873015873,0.875,0.873015873015873,0,0.0,2,1,0.25,0.75,0.6100065031274807,0.7745966692414834,subject_dependent,rbf_svm,1.0,0.8,0.6791666666666667,0.9,0.875,0.9,0.875,0.875,0.875,0.75,3,0.75,4,1.0
0.625,0.5666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24717761980664515,"[[4, 1], [2, 1]]",valence,0.5636363636363637,0.625,0.6045454545454546,2,0.6666666666666666,3,1,0.2,0.1428571428571429,0.6887475055779106,0.14907119849998599,subject_dependent,rbf_svm,0.6666666666666666,0.5,0.5555555555555556,0.5833333333333333,0.625,0.6041666666666666,0.5666666666666667,0.625,0.625,0.7,4,0.8,1,0.3333333333333333
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.22197946939462462,"[[2, 1], [1, 4]]",valence,0.7333333333333334,0.75,0.75,1,0.2,4,1,0.3333333333333333,0.4666666666666667,0.6361381202313532,0.4666666666666667,subject_dependent,rbf_svm,0.6666666666666666,0.8,0.7683333333333333,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.6000000000000001,2,0.6666666666666666,4,0.8
