accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.5,0.4444444444444444,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 1], [2, 0, 0], [0, 0, 3]]",valence,0.3968253968253968,0.5,0.4464285714285714,,,0,,,0.2195121951219512,1.4616917873522384,0.2252817784447915,subject_dependent,rbf_svm,,,0.3494708994708995,0.3611111111111111,0.5,0.40625,0.4444444444444444,0.5,0.5,0.3222222222222222,,,,
0.25,0.25,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [1, 1, 2], [2, 0, 0]]",valence,0.24444444444444446,0.25,0.2833333333333333,,,1,,,-0.04347826086956519,1.5871939814415892,-0.051298917604257706,subject_dependent,rbf_svm,,,0.4166666666666667,0.4166666666666667,0.25,0.5625,0.25,0.25,0.25,0.4166666666666667,,,,
0.375,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 0, 3], [0, 1, 3]]",valence,0.1818181818181818,0.375,0.2727272727272727,,,2,,,-0.21212121212121215,1.3352240920808807,-0.30348848933344197,subject_dependent,rbf_svm,,,0.2744047619047619,0.14285714285714285,0.375,0.21428571428571427,0.25,0.375,0.375,0.0861111111111111,,,,
0.5,0.5,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.29427362413582814,"[[2, 1, 1], [0, 0, 0], [0, 2, 2]]",valence,0.41269841269841273,0.5,0.6190476190476191,,,3,,,0.2727272727272727,,0.3273268353539886,subject_dependent,rbf_svm,,,,0.5555555555555555,0.5,0.8333333333333333,0.3333333333333333,0.5,0.5,,,,,
0.625,0.5333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [1, 0, 0], [2, 0, 3]]",valence,0.44047619047619047,0.625,0.6116071428571428,,,4,,,0.3846153846153846,1.2080701170050931,0.46966821831386213,subject_dependent,rbf_svm,,,0.39206349206349206,0.4666666666666666,0.625,0.725,0.5333333333333333,0.625,0.625,0.3031746031746032,,,,
0.625,0.5833333333333334,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [0, 0, 2], [0, 1, 3]]",valence,0.5555555555555555,0.625,0.5833333333333333,,,0,,,0.368421052631579,1.3787486528616115,0.3796283011826483,subject_dependent,rbf_svm,,,0.37797619047619047,0.5333333333333333,0.625,0.55,0.5833333333333334,0.625,0.625,0.23611111111111108,,,,
0.5,0.26666666666666666,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 1], [0, 1, 4]]",valence,0.2222222222222222,0.5,0.41666666666666663,,,1,,,-0.1428571428571428,0.9802013996577422,-0.18333969940564226,subject_dependent,rbf_svm,,,0.4607142857142857,0.19047619047619047,0.5,0.3571428571428571,0.26666666666666666,0.5,0.5,0.48730158730158735,,,,
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [2, 0, 0], [0, 0, 4]]",valence,0.4296296296296296,0.625,0.5444444444444444,,,2,,,0.368421052631579,1.195259948330619,0.404145188432738,subject_dependent,rbf_svm,,,0.4363095238095238,0.37777777777777777,0.625,0.48333333333333334,0.5,0.625,0.625,0.3125,,,,
0.625,0.611111111111111,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[1, 1, 0], [0, 2, 1], [0, 1, 2]]",valence,0.6349206349206349,0.625,0.6309523809523809,,,3,,,0.41463414634146345,1.0246230607954656,0.42553224817349505,subject_dependent,rbf_svm,,,0.7518518518518519,0.7222222222222222,0.625,0.6875,0.611111111111111,0.625,0.625,0.7611111111111111,,,,
0.5,0.38888888888888884,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [1, 2, 0], [0, 2, 2]]",valence,0.38095238095238093,0.5,0.5,,,4,,,0.17948717948717952,0.9988697226853771,0.18421052631578946,subject_dependent,rbf_svm,,,0.5087962962962963,0.38888888888888884,0.5,0.5208333333333333,0.38888888888888884,0.5,0.5,0.549404761904762,,,,
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.11863986496577432,"[[4, 1], [1, 2]]",valence,0.7333333333333334,0.75,0.75,1,0.3333333333333333,0,1,0.2,0.4666666666666667,0.39155328006759044,0.4666666666666667,subject_dependent,rbf_svm,0.8,0.6666666666666666,0.4859523809523809,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.9333333333333333,4,0.8,2,0.6666666666666666
0.875,0.9,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.0939125932583632,"[[4, 1], [0, 3]]",valence,0.873015873015873,0.875,0.876984126984127,0,0.0,1,1,0.2,0.75,0.3084357743686075,0.7745966692414834,subject_dependent,rbf_svm,1.0,0.75,0.46928571428571425,0.875,0.875,0.90625,0.9,0.875,0.875,1.0,4,0.8,3,1.0
0.75,0.75,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.17446741327231874,"[[3, 1], [1, 3]]",valence,0.75,0.75,0.75,1,0.25,2,1,0.25,0.5,0.5410367313220761,0.5,subject_dependent,rbf_svm,0.75,0.75,0.4303571428571429,0.75,0.75,0.75,0.75,0.75,0.75,0.75,3,0.75,3,0.75
1.0,1.0,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.08508036347651242,"[[5, 0], [0, 3]]",valence,1.0,1.0,1.0,0,0.0,3,0,0.0,1.0,0.33352567268120337,1.0,subject_dependent,rbf_svm,1.0,1.0,0.46928571428571425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,3,1.0
0.75,0.7333333333333334,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.22573928800728923,"[[4, 1], [1, 2]]",valence,0.7333333333333334,0.75,0.75,1,0.3333333333333333,4,1,0.2,0.4666666666666667,0.6875790899525012,0.4666666666666667,subject_dependent,rbf_svm,0.8,0.6666666666666666,0.5449999999999999,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.7333333333333333,4,0.8,2,0.6666666666666666
0.125,0.1111111111111111,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [2, 0, 1], [2, 0, 1]]",valence,0.09523809523809523,0.125,0.10714285714285714,,,0,,,-0.2727272727272727,1.2713454076857915,-0.3273268353539886,subject_dependent,rbf_svm,,,0.40648148148148144,0.08333333333333333,0.125,0.09375,0.1111111111111111,0.125,0.125,0.3222222222222222,,,,
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.2760090148998201,"[[1, 1, 2], [0, 0, 0], [2, 1, 1]]",valence,0.19047619047619047,0.25,0.2857142857142857,,,1,,,-0.19999999999999996,,-0.2182178902359924,subject_dependent,rbf_svm,,,,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666,0.25,0.25,,,,,
