accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.75,0.75,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.27367878065749074,"[[4, 0], [2, 2]]",valence,0.7333333333333334,0.75,0.7333333333333334,2,0.5,0,0,0.0,0.5,0.7415649882467894,0.5773502691896258,subject_dependent,rbf_svm,0.6666666666666666,1.0,0.48214285714285715,0.8333333333333333,0.75,0.8333333333333333,0.75,0.75,0.75,0.3125,4,1.0,2,0.5
0.5,0.6666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2673625173592594,"[[2, 4], [0, 2]]",valence,0.5,0.5,0.5,0,0.0,1,4,0.6666666666666666,0.19999999999999996,0.7350398362584856,0.3333333333333333,subject_dependent,rbf_svm,1.0,0.3333333333333333,0.29166666666666663,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.5,0.5,0.4166666666666667,2,0.3333333333333333,2,1.0
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.24584864977982057,"[[1, 3], [3, 1]]",valence,0.25,0.25,0.25,3,0.75,2,3,0.75,-0.5,0.6847905140206518,-0.5,subject_dependent,rbf_svm,0.25,0.25,0.95,0.25,0.25,0.25,0.25,0.25,0.25,0.9375,1,0.25,1,0.25
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",0.25002249304986657,"[[4, 0], [4, 0]]",valence,0.3333333333333333,0.5,0.3333333333333333,4,1.0,3,0,0.0,0.0,0.6931921681987986,0.0,subject_dependent,rbf_svm,0.5,0.0,0.6,0.25,0.5,0.25,0.5,0.5,0.5,0.375,4,1.0,0,0.0
0.375,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",0.26439494907697547,"[[3, 0], [5, 0]]",valence,0.2727272727272727,0.375,0.20454545454545453,5,1.0,4,0,0.0,0.0,0.7220342834664533,0.0,subject_dependent,rbf_svm,0.375,0.0,0.5192857142857142,0.1875,0.375,0.140625,0.5,0.375,0.375,0.13333333333333336,3,1.0,0,0.0
0.75,0.7333333333333334,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24455708484382213,"[[2, 1], [1, 4]]",valence,0.7333333333333334,0.75,0.75,1,0.2,0,1,0.3333333333333333,0.4666666666666667,0.6822547552346645,0.4666666666666667,subject_dependent,rbf_svm,0.6666666666666666,0.8,0.6392857142857143,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.2666666666666667,2,0.6666666666666666,4,0.8
0.375,0.3,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24793761179582124,"[[0, 3], [2, 3]]",valence,0.2727272727272727,0.375,0.3409090909090909,2,0.4,1,3,1.0,-0.4285714285714286,0.6874896210404288,-0.4472135954999579,subject_dependent,rbf_svm,0.0,0.5,0.7226190476190476,0.25,0.375,0.3125,0.3,0.375,0.375,0.4666666666666667,0,0.0,3,0.6
0.75,0.75,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.19157813057885684,"[[2, 2], [0, 4]]",valence,0.7333333333333334,0.75,0.7333333333333334,0,0.0,2,2,0.5,0.5,0.5728321680417235,0.5773502691896258,subject_dependent,rbf_svm,1.0,0.6666666666666666,0.8041666666666667,0.8333333333333333,0.75,0.8333333333333333,0.75,0.75,0.75,0.8125,2,0.5,4,1.0
0.625,0.5666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2439536833358124,"[[4, 1], [2, 1]]",valence,0.5636363636363637,0.625,0.6045454545454546,2,0.6666666666666666,3,1,0.2,0.1428571428571429,0.6820481780900723,0.14907119849998599,subject_dependent,rbf_svm,0.6666666666666666,0.5,0.5888888888888888,0.5833333333333333,0.625,0.6041666666666666,0.5666666666666667,0.625,0.625,0.7333333333333333,4,0.8,1,0.3333333333333333
0.75,0.7333333333333334,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.227587709413396,"[[2, 1], [1, 4]]",valence,0.7333333333333334,0.75,0.75,1,0.2,4,1,0.3333333333333333,0.4666666666666667,0.6476145597797931,0.4666666666666667,subject_dependent,rbf_svm,0.6666666666666666,0.8,0.8350000000000001,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,0.6666666666666667,2,0.6666666666666666,4,0.8
