accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.625,0.611111111111111,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 2], [1, 1, 0], [0, 0, 3]]",valence,0.6055555555555555,0.625,0.5979166666666667,,,0,,,0.41463414634146345,1.2421478190702637,0.4498677054212187,subject_dependent,rbf_svm,,,0.32896825396825397,0.7000000000000001,0.625,0.6625,0.611111111111111,0.625,0.625,0.25555555555555554,,,,
0.25,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",,"[[0, 0, 2], [0, 0, 4], [0, 0, 2]]",valence,0.13333333333333333,0.25,0.1,,,1,,,0.0,1.3863494924696562,0.0,subject_dependent,rbf_svm,,,0.36071428571428577,0.08333333333333333,0.25,0.0625,0.3333333333333333,0.25,0.25,0.3055555555555556,,,,
0.5,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 0, 3], [0, 0, 4]]",valence,0.2222222222222222,0.5,0.3333333333333333,,,2,,,0.0,1.167960699614268,0.0,subject_dependent,rbf_svm,,,0.3662698412698413,0.16666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,0.2847222222222222,,,,
0.25,0.25,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.30477006544389446,"[[0, 2, 2], [0, 0, 0], [0, 2, 2]]",valence,0.16666666666666666,0.25,0.25,,,3,,,0.0,,0.0,subject_dependent,rbf_svm,,,,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25,0.25,,,,,
0.5,0.3666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [0, 0, 1], [2, 0, 3]]",valence,0.3333333333333333,0.5,0.475,,,4,,,0.030303030303030276,1.1302298765387095,0.03131121455425748,subject_dependent,rbf_svm,,,0.3423809523809524,0.3111111111111111,0.5,0.4583333333333333,0.3666666666666667,0.5,0.5,0.21428571428571433,,,,
0.5,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 2], [0, 0, 4]]",valence,0.2222222222222222,0.5,0.3333333333333333,,,0,,,0.0,1.1221190949156503,0.0,subject_dependent,rbf_svm,,,0.4170634920634921,0.16666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,0.4444444444444445,,,,
0.5,0.26666666666666666,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 1], [0, 0, 1], [0, 1, 4]]",valence,0.24242424242424243,0.5,0.4545454545454546,,,1,,,0.0,0.9833847827483975,0.0,subject_dependent,rbf_svm,,,0.5177777777777778,0.2222222222222222,0.5,0.41666666666666663,0.26666666666666666,0.5,0.5,0.4904761904761905,,,,
0.5,0.3333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 2], [0, 0, 2], [0, 0, 4]]",valence,0.2222222222222222,0.5,0.3333333333333333,,,2,,,0.0,1.013805920066246,0.0,subject_dependent,rbf_svm,,,0.5448412698412698,0.16666666666666666,0.5,0.25,0.3333333333333333,0.5,0.5,0.5902777777777778,,,,
0.625,0.611111111111111,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 0], [0, 2, 1], [0, 1, 2]]",valence,0.6349206349206349,0.625,0.6309523809523809,,,3,,,0.41463414634146345,1.3270985539064435,0.42553224817349505,subject_dependent,rbf_svm,,,0.3275132275132275,0.7222222222222222,0.625,0.6875,0.611111111111111,0.625,0.625,0.24444444444444444,,,,
0.5,0.3611111111111111,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [0, 1, 2], [0, 1, 3]]",valence,0.3333333333333333,0.5,0.45,,,4,,,0.05882352941176472,0.9064047318848555,0.06622661785325219,subject_dependent,rbf_svm,,,0.542526455026455,0.3333333333333333,0.5,0.4375,0.3611111111111111,0.5,0.5,0.6654761904761904,,,,
