accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_balanced_accuracy,trial_confusion_matrix,trial_f1_macro,trial_f1_micro,trial_f1_weighted,trial_fn,trial_fnr,trial_fp,trial_fpr,trial_kappa,trial_mcc,trial_npv,trial_ppv,trial_precision_macro,trial_precision_micro,trial_precision_weighted,trial_recall_macro,trial_recall_micro,trial_recall_weighted,trial_tn,trial_tnr,trial_tp,trial_tpr
0.475,0.5066666666666666,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 400, ""clf__subsample"": 1.0}",0.3638833165168762,"[[38, 22], [62, 38]]",valence,0.475,0.475,0.475,62,0.62,,22,0.36666666666666664,0.0117647058823529,1.1567978481355978,0.013333333333333334,subject_dependent,xgb,0.38,0.6333333333333333,0.6107743564292624,0.5066666666666666,0.475,0.5383333333333333,0.5066666666666666,0.475,0.475,0.5068333333333334,38,0.6333333333333333,38,0.38,0.375,0.43333333333333335,"[[2, 1], [4, 1]]",0.36507936507936506,0.375,0.34523809523809523,4,0.8,1,0.3333333333333333,-0.11111111111111116,-0.14907119849998599,0.3333333333333333,0.5,0.41666666666666663,0.375,0.4375,0.43333333333333335,0.375,0.375,2,0.6666666666666666,1,0.2
0.4625,0.4866666666666667,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__n_estimators"": 400, ""clf__subsample"": 0.8}",0.41334056854248047,"[[35, 25], [61, 39]]",valence,0.4621638524077548,0.4625,0.4655253283302064,61,0.61,,25,0.4166666666666667,-0.023809523809523725,1.406234732808516,-0.026352313834736497,subject_dependent,xgb,0.3645833333333333,0.609375,0.5818609080672301,0.48697916666666663,0.4625,0.517578125,0.4866666666666667,0.4625,0.4625,0.43933333333333335,35,0.5833333333333334,39,0.39,0.5,0.5333333333333333,"[[2, 1], [3, 2]]",0.5,0.5,0.5,3,0.6,1,0.3333333333333333,0.05882352941176472,0.06666666666666667,0.4,0.6666666666666666,0.5333333333333333,0.5,0.5666666666666667,0.5333333333333333,0.5,0.5,2,0.6666666666666666,2,0.4
0.5625,0.5666666666666667,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 200, ""clf__subsample"": 1.0}",0.2754517197608948,"[[55, 45], [25, 35]]",valence,0.5555555555555556,0.5625,0.5694444444444444,25,0.4166666666666667,,45,0.45,0.125,0.7560433377451943,0.12909944487358058,subject_dependent,xgb,0.6875,0.4375,0.3808793264197631,0.5625,0.5625,0.59375,0.5666666666666667,0.5625,0.5625,0.5241666666666667,55,0.55,35,0.5833333333333334,0.75,0.7333333333333334,"[[4, 1], [1, 2]]",0.7333333333333334,0.75,0.75,1,0.3333333333333333,1,0.2,0.4666666666666667,0.4666666666666667,0.8,0.6666666666666666,0.7333333333333334,0.75,0.75,0.7333333333333334,0.75,0.75,4,0.8,2,0.6666666666666666
0.5375,0.5566666666666666,"{""clf__colsample_bytree"": 0.8, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 400, ""clf__subsample"": 1.0}",0.28475841879844666,"[[48, 52], [22, 38]]",valence,0.5356862745098039,0.5375,0.5429411764705883,22,0.36666666666666664,,52,0.52,0.10303030303030303,0.8143878711552223,0.11060200826750043,subject_dependent,xgb,0.6857142857142857,0.4222222222222222,0.40517344387873866,0.553968253968254,0.5375,0.5869047619047618,0.5566666666666666,0.5375,0.5375,0.5828333333333333,48,0.48,38,0.6333333333333333,0.5,0.5333333333333333,"[[2, 3], [1, 2]]",0.5,0.5,0.5,1,0.3333333333333333,3,0.6,0.05882352941176472,0.06666666666666667,0.6666666666666666,0.4,0.5333333333333333,0.5,0.5666666666666667,0.5333333333333333,0.5,0.5,2,0.4,2,0.6666666666666666
0.39375,0.3783333333333333,"{""clf__colsample_bytree"": 0.8, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 200, ""clf__subsample"": 1.0}",0.3608384132385254,"[[19, 41], [56, 44]]",valence,0.3785785785785786,0.39375,0.4028528528528529,56,0.56,,41,0.6833333333333333,-0.2317460317460318,1.0139734798648934,-0.23606800836869743,subject_dependent,xgb,0.25333333333333335,0.5176470588235295,0.5329112845138496,0.3854901960784314,0.39375,0.4185294117647059,0.3783333333333333,0.39375,0.39375,0.36716666666666664,19,0.31666666666666665,44,0.44,0.375,0.3,"[[0, 3], [2, 3]]",0.2727272727272727,0.375,0.3409090909090909,2,0.4,3,1.0,-0.4285714285714286,-0.4472135954999579,0.0,0.5,0.25,0.375,0.3125,0.3,0.375,0.375,0,0.0,3,0.6
0.5125,0.44666666666666666,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__n_estimators"": 400, ""clf__subsample"": 1.0}",0.40208369493484497,"[[11, 49], [29, 71]]",valence,0.43272727272727274,0.5125,0.48590909090909096,29,0.29,,49,0.8166666666666667,-0.11428571428571432,1.5213476522735,-0.11925695879998878,subject_dependent,xgb,0.275,0.5916666666666667,0.6417219585230793,0.43333333333333335,0.5125,0.4729166666666666,0.44666666666666666,0.5125,0.5125,0.46166666666666667,11,0.18333333333333332,71,0.71,0.5,0.4666666666666667,"[[1, 2], [2, 3]]",0.4666666666666667,0.5,0.5,2,0.4,2,0.6666666666666666,-0.06666666666666665,-0.06666666666666667,0.3333333333333333,0.6,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,1,0.3333333333333333,3,0.6
0.75,0.5833333333333333,"{""clf__colsample_bytree"": 0.8, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__n_estimators"": 200, ""clf__subsample"": 0.8}",0.1774403303861618,"[[10, 30], [10, 110]]",valence,0.5897435897435898,0.75,0.7179487179487178,10,0.08333333333333333,,30,0.75,0.19999999999999996,0.5981787667337158,0.2182178902359924,subject_dependent,xgb,0.5,0.7857142857142857,0.8622174571237515,0.6428571428571428,0.75,0.7142857142857142,0.5833333333333333,0.75,0.75,0.6941666666666667,10,0.25,110,0.9166666666666666,0.75,0.5,"[[0, 2], [0, 6]]",0.42857142857142855,0.75,0.6428571428571428,0,0.0,2,1.0,0.0,0.0,0.0,0.75,0.375,0.75,0.5625,0.5,0.75,0.75,0,0.0,6,1.0
0.61875,0.61875,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 400, ""clf__subsample"": 1.0}",0.2765602767467499,"[[25, 55], [6, 74]]",valence,0.5792922108711582,0.61875,0.5792922108711582,6,0.075,,55,0.6875,0.23750000000000004,0.8659709108996617,0.3004539368056866,subject_dependent,xgb,0.8064516129032258,0.5736434108527132,0.7677395132058717,0.6900475118779694,0.61875,0.6900475118779695,0.61875,0.61875,0.61875,0.755625,25,0.3125,74,0.925,0.625,0.625,"[[1, 3], [0, 4]]",0.5636363636363637,0.625,0.5636363636363637,0,0.0,3,0.75,0.25,0.3779644730092272,1.0,0.5714285714285714,0.7857142857142857,0.625,0.7857142857142857,0.625,0.625,0.625,1,0.25,4,1.0
0.63125,0.5216666666666666,"{""clf__colsample_bytree"": 0.8, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__n_estimators"": 400, ""clf__subsample"": 0.8}",0.30728334188461304,"[[5, 55], [4, 96]]",valence,0.45493388763785436,0.63125,0.532435475489347,4,0.04,,55,0.9166666666666666,0.052208835341365445,1.1816909717914186,0.09105168650229893,subject_dependent,xgb,0.5555555555555556,0.6357615894039735,0.7677721863677118,0.5956585724797645,0.63125,0.6056843267108168,0.5216666666666666,0.63125,0.63125,0.6575000000000001,5,0.08333333333333333,96,0.96,0.625,0.5,"[[0, 3], [0, 5]]",0.38461538461538464,0.625,0.4807692307692308,0,0.0,3,1.0,0.0,0.0,0.0,0.625,0.3125,0.625,0.390625,0.5,0.625,0.625,0,0.0,5,1.0
0.66875,0.5716666666666667,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__n_estimators"": 200, ""clf__subsample"": 1.0}",0.24611611664295197,"[[11, 49], [4, 96]]",valence,0.5385034013605442,0.66875,0.5997959183673469,4,0.04,,49,0.8166666666666667,0.1686274509803921,0.7889635826561008,0.2380637089140546,subject_dependent,xgb,0.7333333333333333,0.6620689655172414,0.764226014284874,0.6977011494252874,0.66875,0.6887931034482759,0.5716666666666667,0.66875,0.66875,0.6905,11,0.18333333333333332,96,0.96,0.75,0.6666666666666666,"[[1, 2], [0, 5]]",0.6666666666666667,0.75,0.7083333333333334,0,0.0,2,0.6666666666666666,0.3846153846153846,0.4879500364742666,1.0,0.7142857142857143,0.8571428571428572,0.75,0.8214285714285714,0.6666666666666666,0.75,0.75,1,0.3333333333333333,5,1.0
