accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2631339482643478,"[[2, 2], [2, 2]]",valence,0.5,0.5,0.5,2,0.5,0,2,0.5,0.0,0.7181062812667813,0.0,subject_dependent,rbf_svm,0.5,0.5,0.6083333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.625,2,0.5,2,0.5
0.25,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24245310915789733,"[[1, 5], [1, 1]]",valence,0.25,0.25,0.25,1,0.5,1,5,0.8333333333333334,-0.19999999999999996,0.6796445009304266,-0.3333333333333333,subject_dependent,rbf_svm,0.5,0.16666666666666666,0.5833333333333333,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.25,0.25,0.8333333333333334,1,0.16666666666666666,1,0.5
0.125,0.125,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.23071703614151953,"[[1, 3], [4, 0]]",valence,0.1111111111111111,0.125,0.1111111111111111,4,1.0,2,3,0.75,-0.75,0.6540492861454328,-0.7745966692414834,subject_dependent,rbf_svm,0.2,0.0,0.8041666666666667,0.1,0.125,0.1,0.125,0.125,0.125,0.8125,1,0.25,0,0.0
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.01}",0.24927481534421966,"[[4, 0], [4, 0]]",valence,0.3333333333333333,0.5,0.3333333333333333,4,1.0,3,0,0.0,0.0,0.6916967438153636,0.0,subject_dependent,rbf_svm,0.5,0.0,0.6499999999999999,0.25,0.5,0.25,0.5,0.5,0.5,0.6875,4,1.0,0,0.0
0.5,0.5333333333333333,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",0.41557213422611694,"[[2, 1], [3, 2]]",valence,0.5,0.5,0.5,3,0.6,4,1,0.3333333333333333,0.05882352941176472,1.1084400120137003,0.06666666666666667,subject_dependent,rbf_svm,0.4,0.6666666666666666,0.6295238095238094,0.5333333333333333,0.5,0.5666666666666667,0.5333333333333333,0.5,0.5,0.4666666666666667,2,0.6666666666666666,2,0.4
0.875,0.8333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.21012800365643114,"[[2, 1], [0, 5]]",valence,0.8545454545454545,0.875,0.8681818181818182,0,0.0,0,1,0.3333333333333333,0.7142857142857143,0.6128844575778688,0.7453559924999299,subject_dependent,rbf_svm,1.0,0.8333333333333334,0.81,0.9166666666666667,0.875,0.8958333333333334,0.8333333333333333,0.875,0.875,0.7333333333333334,2,0.6666666666666666,5,1.0
0.5,0.4666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.30516218987928195,"[[1, 2], [2, 3]]",valence,0.4666666666666667,0.5,0.5,2,0.4,1,2,0.6666666666666666,-0.06666666666666665,0.8155505951870259,-0.06666666666666667,subject_dependent,rbf_svm,0.3333333333333333,0.6,0.6926190476190477,0.4666666666666667,0.5,0.5,0.4666666666666667,0.5,0.5,0.4,1,0.3333333333333333,3,0.6
0.75,0.75,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.23207283066098475,"[[2, 2], [0, 4]]",valence,0.7333333333333334,0.75,0.7333333333333334,0,0.0,2,2,0.5,0.5,0.6583521842560285,0.5773502691896258,subject_dependent,rbf_svm,1.0,0.6666666666666666,0.7333333333333333,0.8333333333333333,0.75,0.8333333333333333,0.75,0.75,0.75,0.6875,2,0.5,4,1.0
0.75,0.8,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.24894523089923937,"[[3, 2], [0, 3]]",valence,0.75,0.75,0.75,0,0.0,3,2,0.4,0.5294117647058824,0.6914801306850948,0.6,subject_dependent,rbf_svm,1.0,0.6,0.7555555555555555,0.8,0.75,0.85,0.8,0.75,0.75,0.8,3,0.6,3,1.0
0.875,0.9,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",0.2227994417697034,"[[3, 0], [1, 4]]",valence,0.873015873015873,0.875,0.876984126984127,1,0.2,4,0,0.0,0.75,0.6385369194781476,0.7745966692414834,subject_dependent,rbf_svm,0.75,1.0,0.9666666666666667,0.875,0.875,0.90625,0.9,0.875,0.875,0.9333333333333333,3,1.0,4,0.8
