accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr
0.5,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 2], [1, 1, 0], [0, 1, 2]]",valence,0.4904761904761905,0.5,0.4892857142857143,,,0,,,0.23809523809523814,1.1193563230462626,0.2439750182371333,subject_dependent,rbf_svm,,,0.5443121693121694,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555555,,,,
0.375,0.4166666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 1, 0], [0, 1, 3], [1, 0, 1]]",valence,0.38888888888888884,0.375,0.37499999999999994,,,1,,,0.09090909090909094,1.5251530640496502,0.1,subject_dependent,rbf_svm,,,0.425,0.4166666666666667,0.375,0.4375,0.4166666666666667,0.375,0.375,0.4375,,,,
0.25,0.19444444444444442,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [1, 1, 1], [2, 1, 1]]",valence,0.22857142857142856,0.25,0.29285714285714287,,,2,,,-0.11627906976744184,1.0343694188556356,-0.12515654358043973,subject_dependent,rbf_svm,,,0.8045634920634921,0.27777777777777773,0.25,0.35416666666666663,0.19444444444444442,0.25,0.25,0.7833333333333333,,,,
0.5,0.5,"{""clf__C"": 0.1, ""clf__gamma"": 0.001}",0.2818401181020356,"[[0, 4], [0, 4]]",valence,0.3333333333333333,0.5,0.3333333333333333,0,0.0,3,4,1.0,0.0,,0.0,subject_dependent,rbf_svm,0.0,0.5,,0.25,0.5,0.25,0.5,0.5,0.5,,0,0.0,4,1.0
0.375,0.3,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [0, 0, 1], [1, 2, 2]]",valence,0.3148148148148148,0.375,0.4027777777777778,,,4,,,-0.05263157894736836,0.9850069123869405,-0.05423261445466404,subject_dependent,rbf_svm,,,0.48373015873015873,0.3333333333333333,0.375,0.4375,0.3,0.375,0.375,0.5317460317460317,,,,
0.5,0.3333333333333333,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 2, 0], [0, 0, 2], [0, 0, 4]]",valence,0.26666666666666666,0.5,0.4,,,0,,,0.11111111111111116,1.0071005331016851,0.12909944487358055,subject_dependent,rbf_svm,,,0.6587301587301587,0.2222222222222222,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6458333333333334,,,,
0.5,0.3666666666666667,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[1, 0, 1], [0, 0, 1], [2, 0, 3]]",valence,0.3333333333333333,0.5,0.475,,,1,,,0.030303030303030276,1.1693404017161049,0.03131121455425748,subject_dependent,rbf_svm,,,0.3705555555555555,0.3111111111111111,0.5,0.4583333333333333,0.3666666666666667,0.5,0.5,0.2976190476190476,,,,
0.625,0.5,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[0, 1, 1], [0, 1, 1], [0, 0, 4]]",valence,0.43333333333333335,0.625,0.525,,,2,,,0.33333333333333337,1.2142690753683605,0.3872983346207417,subject_dependent,rbf_svm,,,0.38650793650793647,0.38888888888888884,0.625,0.4583333333333333,0.5,0.625,0.625,0.3819444444444445,,,,
0.5,0.5555555555555555,"{""clf__C"": 1.0, ""clf__gamma"": 0.001}",,"[[2, 0, 0], [1, 0, 2], [1, 0, 2]]",valence,0.41269841269841273,0.5,0.38095238095238093,,,3,,,0.2727272727272727,1.1293788477721005,0.3273268353539886,subject_dependent,rbf_svm,,,0.4652116402116402,0.3333333333333333,0.5,0.3125,0.5555555555555555,0.5,0.5,0.4611111111111111,,,,
0.5,0.38888888888888884,"{""clf__C"": 10.0, ""clf__gamma"": 0.001}",,"[[0, 0, 1], [1, 2, 0], [0, 2, 2]]",valence,0.38095238095238093,0.5,0.5,,,4,,,0.17948717948717952,1.0610580090917008,0.18421052631578946,subject_dependent,rbf_svm,,,0.46064814814814814,0.38888888888888884,0.5,0.5208333333333333,0.38888888888888884,0.5,0.5,0.5484126984126984,,,,
