dimension,mean_trial_accuracy,mean_trial_balanced_accuracy,mean_trial_f1_macro,mean_trial_roc_auc,stage,std_trial_accuracy,std_trial_balanced_accuracy,std_trial_f1_macro,std_trial_roc_auc,step_seconds,window_seconds
valence,0.5572916666666666,0.5460813492063492,0.4819594757094758,0.6080109126984127,quick,0.1642896905790365,0.14597609191974903,0.16620533779542718,0.17316989534139426,1.0,2.0
arousal,0.53125,0.5357638888888889,0.4803781866281867,0.5852430555555556,quick,0.1288470508005519,0.1279338381223998,0.14254211099982675,0.14613673383144582,1.0,2.0
valence,0.5572916666666666,0.5424603174603174,0.4791037666037666,0.5943700396825397,quick,0.14977920671404588,0.1472141330725975,0.1624099864769567,0.1716723431751364,2.0,4.0
arousal,0.5520833333333334,0.5642361111111112,0.5106782106782107,0.6013888888888889,quick,0.13217268271301583,0.13407409605522125,0.14188744083788976,0.15257562383177178,2.0,4.0
valence,0.546875,0.5628472222222223,0.48319296444296445,0.6206845238095239,quick,0.14461920184286273,0.14672899928356736,0.16201448228584786,0.16784595098763647,3.0,6.0
arousal,0.5416666666666666,0.5555555555555556,0.5083844396344398,0.5967013888888889,quick,0.12842529172852035,0.11634794426977413,0.1347778978082789,0.14665309856090816,3.0,6.0
valence,0.5572916666666666,0.5615575396825396,0.48645775520775514,0.6080853174603175,quick,0.14081776911037264,0.15290774562271944,0.15537062516273042,0.1693418745190922,4.0,8.0
arousal,0.5364583333333334,0.5559027777777779,0.49993386243386245,0.6109375,quick,0.12091861214837395,0.11970810289905758,0.13282066069952733,0.12807876593551648,4.0,8.0
valence,0.5625,0.5630952380952381,0.49855861730861734,0.5804811507936508,quick,0.15095184110614,0.1462368889924563,0.1574530652353669,0.18015192017789178,5.0,10.0
arousal,0.515625,0.5263888888888889,0.4682014744514745,0.5765625,quick,0.12532509807829129,0.12536212976910896,0.1383271914037988,0.16809527695749416,5.0,10.0
valence,0.5572916666666666,0.5502480158730159,0.48649082399082405,0.5785714285714286,quick,0.13124586633702243,0.1576644141955369,0.15568861624292976,0.1957650605288066,6.0,12.0
arousal,0.53125,0.5489583333333333,0.49880883005883003,0.6048611111111112,quick,0.11552642194176475,0.10816125489372423,0.12236410896276749,0.16487170002500673,6.0,12.0
valence,0.53125,0.5390873015873017,0.4705974580974581,0.6077380952380952,quick,0.16036254498271513,0.1557637622034478,0.17243708839522356,0.17273775509193862,7.5,15.0
arousal,0.5572916666666666,0.5659722222222223,0.522927997927998,0.5970486111111112,quick,0.10962273531171453,0.11342002063236857,0.1163957677191795,0.16218019263254763,7.5,15.0
