accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.44375,0.4816666666666667,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3206693215492826,"[[38, 22], [67, 33]]",valence,0.44320625610948194,0.44375,0.43885630498533723,67,0.67,,22,0.36666666666666664,-0.03188405797101446,0.883234169234578,-0.03737412737209254,subject_dependent,rbf_svm,0.3619047619047619,0.6,0.6610897029904425,0.4809523809523809,0.44375,0.5107142857142858,0.4816666666666667,0.44375,0.44375,0.5373333333333333,38,0.6333333333333333,33,0.33,0.375,0.36507936507936506
0.5875,0.5875,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.3365944975754545,"[[67, 13], [53, 27]]",valence,0.56,0.5875,0.5599999999999999,53,0.6625,,13,0.1625,0.17500000000000004,1.0988745505179165,0.20207259421636903,subject_dependent,rbf_svm,0.5583333333333333,0.675,0.5582053060337452,0.6166666666666667,0.5875,0.6166666666666667,0.5875,0.5875,0.5875,0.495,67,0.8375,27,0.3375,0.625,0.5636363636363637
0.5,0.2857142857142857,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.32778867121947297,"[[80, 60], [20, 0]]",valence,0.3333333333333333,0.5,0.5833333333333333,20,1.0,,60,0.42857142857142855,-0.23076923076923084,0.9352791557262785,-0.29277002188455997,subject_dependent,rbf_svm,0.8,0.0,0.0804397652940067,0.4,0.5,0.7,0.2857142857142857,0.5,0.5,0.2064285714285714,80,0.5714285714285714,0,0.0,0.625,0.38461538461538464
0.5375,0.5375,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.24315438856389898,"[[19, 61], [13, 67]]",valence,0.4917582417582418,0.5375,0.4917582417582418,13,0.1625,,61,0.7625,0.07499999999999996,0.6786162876307217,0.09375,subject_dependent,rbf_svm,0.59375,0.5234375,0.7722900408815194,0.55859375,0.5375,0.55859375,0.5375,0.5375,0.5375,0.7109375,19,0.2375,67,0.8375,0.5,0.4666666666666667
0.63125,0.5316666666666667,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.2886518484074784,"[[93, 7], [52, 8]]",valence,0.48625850340136056,0.63125,0.5544897959183673,52,0.8666666666666667,,7,0.07,0.07450980392156858,0.9414796121415456,0.10519094114807064,subject_dependent,rbf_svm,0.6413793103448275,0.5333333333333333,0.45569895389089293,0.5873563218390805,0.63125,0.6008620689655172,0.5316666666666667,0.63125,0.63125,0.5276666666666667,93,0.93,8,0.13333333333333333,0.625,0.38461538461538464
0.78125,0.6791666666666667,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.1695750482017609,"[[106, 14], [21, 19]]",valence,0.6894237701735899,0.78125,0.7738616826576452,21,0.525,,14,0.11666666666666667,0.38053097345132747,0.5186114842279063,0.3834855444592329,subject_dependent,rbf_svm,0.8346456692913385,0.5757575757575758,0.5195778467327665,0.7052016225244572,0.78125,0.7699236459078979,0.6791666666666667,0.78125,0.78125,0.7408333333333333,106,0.8833333333333333,19,0.475,0.875,0.7948717948717949
0.48125,0.5291666666666667,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.34651015802259977,"[[25, 15], [68, 52]]",valence,0.4660447911221905,0.48125,0.5110972618712557,68,0.5666666666666667,,15,0.375,0.040462427745664775,0.9888286501310877,0.05119865322146743,subject_dependent,rbf_svm,0.26881720430107525,0.7761194029850746,0.769387564063827,0.522468303643075,0.48125,0.6492938533140749,0.5291666666666667,0.48125,0.48125,0.5460416666666666,25,0.625,52,0.43333333333333335,0.375,0.36507936507936506
0.50625,0.5083333333333333,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.2710914079125738,"[[31, 29], [50, 50]]",valence,0.4991877649669163,0.50625,0.514055628194461,50,0.5,,29,0.48333333333333334,0.015576323987538943,0.7424466608796676,0.016138691493725744,subject_dependent,rbf_svm,0.38271604938271603,0.6329113924050633,0.6692104771867436,0.5078137208938897,0.50625,0.5390881387716832,0.5083333333333333,0.50625,0.50625,0.5520833333333334,31,0.5166666666666667,50,0.5,0.5,0.5
0.43125,0.43125,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3432658213540819,"[[38, 42], [49, 31]]",valence,0.430159289264608,0.43125,0.430159289264608,49,0.6125,,42,0.525,-0.13749999999999996,0.9456470707259257,-0.1380294091008437,subject_dependent,rbf_svm,0.4367816091954023,0.4246575342465753,0.4300577768313294,0.43071957172098885,0.43125,0.4307195717209888,0.43125,0.43125,0.43125,0.43015624999999996,38,0.475,31,0.3875,0.375,0.36507936507936506
0.49375,0.5791666666666666,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.28340185425391823,"[[30, 10], [71, 49]]",valence,0.486508974206585,0.49375,0.5169975038630691,71,0.5916666666666667,,10,0.25,0.10497237569060769,0.7716504407640435,0.1421039928299224,subject_dependent,rbf_svm,0.297029702970297,0.8305084745762712,0.8347359465760297,0.5637690887732841,0.49375,0.6971387816747776,0.5791666666666666,0.49375,0.49375,0.6082291666666667,30,0.75,49,0.4083333333333333,0.5,0.5
0.33125,0.315,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.4908550245361222,"[[15, 45], [62, 38]]",valence,0.3171393243189342,0.33125,0.3416796298512225,62,0.62,,45,0.75,-0.35015772870662465,1.4503146357394827,-0.358503120712543,subject_dependent,rbf_svm,0.19480519480519481,0.4578313253012048,0.5605645946272055,0.3263182600531998,0.33125,0.35919652636520105,0.315,0.33125,0.33125,0.27266666666666667,15,0.25,38,0.38,0.25,0.2
0.51875,0.485,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2498383771762922,"[[21, 39], [38, 62]]",valence,0.48492829967808015,0.51875,0.5179250804799531,38,0.38,,39,0.65,-0.030100334448160515,0.6958703249835939,-0.030103028321859397,subject_dependent,rbf_svm,0.3559322033898305,0.6138613861386139,0.6954139778592667,0.4848967947642222,0.51875,0.5171379426078201,0.485,0.51875,0.51875,0.5328333333333333,21,0.35,62,0.62,0.625,0.5636363636363637
0.7,0.4666666666666667,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.20355019233298757,"[[0, 40], [8, 112]]",valence,0.4117647058823529,0.7,0.6176470588235293,8,0.06666666666666667,,40,1.0,-0.09090909090909083,0.5961871775497037,-0.13245323570650439,subject_dependent,rbf_svm,0.0,0.7368421052631579,0.8152853135654328,0.3684210526315789,0.7,0.5526315789473684,0.4666666666666667,0.7,0.7,0.6080208333333333,0,0.0,112,0.9333333333333333,0.75,0.42857142857142855
0.55,0.5583333333333333,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.32466736782731254,"[[23, 17], [55, 65]]",valence,0.5166974324551099,0.55,0.5801308944453767,55,0.4583333333333333,,17,0.425,0.08860759493670889,1.1125552252022017,0.10106788575898233,subject_dependent,rbf_svm,0.2948717948717949,0.7926829268292683,0.7262357046892034,0.5437773608505316,0.55,0.6682301438399,0.5583333333333333,0.55,0.55,0.5375,23,0.575,65,0.5416666666666666,0.625,0.5636363636363637
0.61875,0.6107142857142858,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.3302790850602022,"[[87, 53], [8, 12]]",valence,0.511389236545682,0.61875,0.6831664580725907,8,0.4,,53,0.37857142857142856,0.11272727272727268,1.0170129303451074,0.14910568177560338,subject_dependent,rbf_svm,0.9157894736842105,0.18461538461538463,0.266021044912175,0.5502024291497976,0.61875,0.8243927125506072,0.6107142857142858,0.61875,0.61875,0.6167857142857143,87,0.6214285714285714,12,0.6,0.75,0.6666666666666667
0.53125,0.53125,"{""clf__C"": 10.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.35227642570985235,"[[64, 16], [59, 21]]",valence,0.4947581154477706,0.53125,0.49475811544777065,59,0.7375,,16,0.2,0.0625,1.497763666318915,0.07411678741165867,subject_dependent,rbf_svm,0.5203252032520326,0.5675675675675675,0.5950429597116172,0.5439463854098001,0.53125,0.5439463854098001,0.53125,0.53125,0.53125,0.54421875,64,0.8,21,0.2625,0.5,0.3333333333333333
0.6,0.6,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2959515754373842,"[[45, 35], [29, 51]]",valence,0.5994367078704428,0.6,0.5994367078704428,29,0.3625,,35,0.4375,0.19999999999999996,0.8506571569479361,0.20056488422556007,subject_dependent,rbf_svm,0.6081081081081081,0.5930232558139535,0.7108216394188054,0.6005656819610308,0.6,0.6005656819610309,0.6,0.6,0.6,0.6407812499999999,45,0.5625,51,0.6375,0.5,0.5
0.7375,0.6833333333333333,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.16370100004329635,"[[23, 17], [25, 95]]",valence,0.670846394984326,0.7375,0.7449059561128527,25,0.20833333333333334,,17,0.425,0.34375,0.49311905919485105,0.3464674335917916,subject_dependent,rbf_svm,0.4791666666666667,0.8482142857142857,0.9235203840398274,0.6636904761904762,0.7375,0.7559523809523809,0.6833333333333333,0.7375,0.7375,0.7990625,23,0.575,95,0.7916666666666666,0.75,0.6666666666666667
