accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.48125,0.5116666666666667,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3221918589669223,"[[38, 22], [61, 39]]",valence,0.4812297355365444,0.48125,0.48204031407476855,61,0.61,,22,0.36666666666666664,0.020648967551622377,0.8951294903241334,0.023257867696348883,subject_dependent,rbf_svm,0.3838383838383838,0.639344262295082,0.6473877370123987,0.5115913230667329,0.48125,0.5435295578738202,0.5116666666666667,0.48125,0.48125,0.5329999999999999,38,0.6333333333333333,39,0.39,0.25,0.25
0.49375,0.49374999999999997,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.35928565745672,"[[51, 29], [52, 28]]",valence,0.4830680866339595,0.49375,0.48306808663395956,52,0.65,,29,0.3625,-0.012499999999999956,1.0781366898356861,-0.013051005112921494,subject_dependent,rbf_svm,0.49514563106796117,0.49122807017543857,0.5301981383838987,0.49318685062169987,0.49375,0.49318685062169987,0.49374999999999997,0.49375,0.49375,0.44000000000000006,51,0.6375,28,0.35,0.625,0.6190476190476191
0.39375,0.2464285714285714,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.4368915690455381,"[[62, 78], [19, 1]]",valence,0.2906439965263495,0.39375,0.4934754787695964,19,0.95,,78,0.5571428571428572,-0.22397476340694,1.505080413670145,-0.33546967938824357,subject_dependent,rbf_svm,0.7654320987654321,0.012658227848101266,0.08383796625473137,0.38904516330676664,0.39375,0.6713353649007657,0.2464285714285714,0.39375,0.39375,0.24142857142857144,62,0.44285714285714284,1,0.05,0.25,0.2
0.61875,0.61875,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.22270471438784362,"[[37, 43], [18, 62]]",valence,0.6092092092092092,0.61875,0.6092092092092093,18,0.225,,43,0.5375,0.23750000000000004,0.641145251109731,0.2500216440847122,subject_dependent,rbf_svm,0.6727272727272727,0.5904761904761905,0.7543653961085257,0.6316017316017316,0.61875,0.6316017316017316,0.61875,0.61875,0.61875,0.729375,37,0.4625,62,0.775,0.625,0.6190476190476191
0.66875,0.595,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.27351769348597377,"[[89, 11], [42, 18]]",valence,0.5875285762926212,0.66875,0.6332871248601586,42,0.7,,11,0.11,0.21189591078066916,1.0105779482410484,0.2387781479708884,subject_dependent,rbf_svm,0.6793893129770993,0.6206896551724138,0.47097731664190234,0.6500394840747565,0.66875,0.6573769413003422,0.595,0.66875,0.66875,0.5245,89,0.89,18,0.3,0.625,0.38461538461538464
0.7375,0.6,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.17566989006601538,"[[105, 15], [27, 13]]",valence,0.607843137254902,0.7375,0.7205882352941176,27,0.675,,15,0.125,0.2222222222222222,0.5312805348353741,0.22792115291927587,subject_dependent,rbf_svm,0.7954545454545454,0.4642857142857143,0.46752067673842496,0.6298701298701299,0.7375,0.7126623376623377,0.6,0.7375,0.7375,0.7347916666666666,105,0.875,13,0.325,0.75,0.42857142857142855
0.4375,0.5833333333333334,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.3235033146579004,"[[35, 5], [85, 35]]",valence,0.4375,0.4375,0.4375,85,0.7083333333333334,,5,0.125,0.09999999999999998,0.9149223644235608,0.16666666666666666,subject_dependent,rbf_svm,0.2916666666666667,0.875,0.8475536343430013,0.5833333333333334,0.4375,0.7291666666666667,0.5833333333333334,0.4375,0.4375,0.6239583333333334,35,0.875,35,0.2916666666666667,0.375,0.36507936507936506
0.5375,0.5533333333333333,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.31850883623414933,"[[37, 23], [51, 49]]",valence,0.5348837209302326,0.5375,0.5436046511627908,51,0.51,,23,0.38333333333333336,0.09756097560975607,0.9278840607989359,0.1037998592215364,subject_dependent,rbf_svm,0.42045454545454547,0.6805555555555556,0.7022677892839467,0.5505050505050505,0.5375,0.5830176767676768,0.5533333333333333,0.5375,0.5375,0.5594166666666667,37,0.6166666666666667,49,0.49,0.5,0.4666666666666667
0.44375,0.44375,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3455224286049893,"[[37, 43], [46, 34]]",valence,0.44355437458481495,0.44375,0.44355437458481495,46,0.575,,43,0.5375,-0.11250000000000004,0.9664145997061097,-0.11257918508781617,subject_dependent,rbf_svm,0.4457831325301205,0.44155844155844154,0.4329185762561136,0.443670787044281,0.44375,0.44367078704428103,0.44375,0.44375,0.44375,0.43640625,37,0.4625,34,0.425,0.5,0.5
0.45625,0.49583333333333335,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.29584688290530725,"[[23, 17], [70, 50]]",valence,0.4403120099714527,0.45625,0.4875356841301114,70,0.5833333333333334,,17,0.425,-0.005780346820809301,0.8045616754547795,-0.0073140933173524905,subject_dependent,rbf_svm,0.24731182795698925,0.746268656716418,0.7797183258490138,0.4967902423367036,0.45625,0.6215294495265608,0.49583333333333335,0.45625,0.45625,0.5191666666666667,23,0.575,50,0.4166666666666667,0.5,0.5
