accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.475,0.5233333333333333,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.3255396230015247,"[[43, 17], [67, 33]]",valence,0.4729411764705882,0.475,0.46470588235294114,67,0.67,,17,0.2833333333333333,0.040000000000000036,0.900404762191371,0.0487417436675954,subject_dependent,rbf_svm,0.39090909090909093,0.66,0.6318840708828732,0.5254545454545455,0.475,0.5590909090909091,0.5233333333333333,0.475,0.475,0.5294166666666668,43,0.7166666666666667,33,0.33,0.5,0.4666666666666667
0.525,0.525,"{""clf__C"": 10.0, ""clf__class_weight"": null, ""clf__gamma"": 0.1}",0.38725354214278446,"[[65, 15], [61, 19]]",valence,0.482200647249191,0.525,0.482200647249191,61,0.7625,,15,0.1875,0.050000000000000044,1.5182850777266848,0.061113233135214086,subject_dependent,rbf_svm,0.5158730158730159,0.5588235294117647,0.48069786737838976,0.5373482726423904,0.525,0.5373482726423904,0.525,0.525,0.525,0.4340625,65,0.8125,19,0.2375,0.5,0.3333333333333333
0.60625,0.3678571428571429,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.3249959137011941,"[[96, 44], [19, 1]]",valence,0.3918552036199095,0.60625,0.6626696832579185,19,0.95,,44,0.3142857142857143,-0.172093023255814,1.0660870161555478,-0.1944005668723115,subject_dependent,rbf_svm,0.8347826086956521,0.022222222222222223,0.09435263388711342,0.4285024154589372,0.60625,0.7332125603864734,0.3678571428571429,0.60625,0.60625,0.3539285714285714,96,0.6857142857142857,1,0.05,0.75,0.42857142857142855
0.74375,0.7437499999999999,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.1934138495900331,"[[51, 29], [12, 68]]",valence,0.7408241476038087,0.74375,0.7408241476038087,12,0.15,,29,0.3625,0.48750000000000004,0.5716131691676862,0.4988942116946685,subject_dependent,rbf_svm,0.8095238095238095,0.7010309278350515,0.8297322558350009,0.7552773686794305,0.74375,0.7552773686794305,0.7437499999999999,0.74375,0.74375,0.8025,51,0.6375,68,0.85,0.75,0.75
0.60625,0.5116666666666667,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.3132651837342647,"[[89, 11], [52, 8]]",valence,0.47056042859393876,0.60625,0.5375676243500184,52,0.8666666666666667,,11,0.11,0.027027027027026973,1.1981542298590981,0.034919342174249135,subject_dependent,rbf_svm,0.6312056737588653,0.42105263157894735,0.3858827445970694,0.5261291526689063,0.60625,0.552398282941396,0.5116666666666667,0.60625,0.60625,0.44883333333333336,89,0.89,8,0.13333333333333333,0.625,0.38461538461538464
0.76875,0.6791666666666667,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.18289735413837463,"[[103, 17], [20, 20]]",valence,0.6836085724974614,0.76875,0.7656725990059323,20,0.5,,17,0.14166666666666666,0.36752136752136755,0.5661876886444208,0.36800558560688607,subject_dependent,rbf_svm,0.8373983739837398,0.5405405405405406,0.5203525917074215,0.6889694572621402,0.76875,0.7631839156229401,0.6791666666666667,0.76875,0.76875,0.7125000000000001,103,0.8583333333333333,20,0.5,0.875,0.7948717948717949
0.53125,0.6125,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.1}",0.3034673445170875,"[[31, 9], [66, 54]]",valence,0.5213593394758884,0.53125,0.5557616369510591,66,0.55,,9,0.225,0.15254237288135597,0.8399789327071863,0.1994100282131975,subject_dependent,rbf_svm,0.31958762886597936,0.8571428571428571,0.8460518832761023,0.5883652430044182,0.53125,0.7227540500736376,0.6125,0.53125,0.53125,0.6677083333333333,31,0.775,54,0.45,0.375,0.36507936507936506
0.48125,0.4983333333333333,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.2860003998808591,"[[34, 26], [57, 43]]",valence,0.4796034327363925,0.48125,0.486921509463537,57,0.57,,26,0.43333333333333335,-0.0030211480362538623,0.7741329974855123,-0.0032584355021620034,subject_dependent,rbf_svm,0.37362637362637363,0.6231884057971014,0.6361103013462583,0.49840738971173754,0.48125,0.5296026437330784,0.4983333333333333,0.48125,0.48125,0.5141666666666667,34,0.5666666666666667,43,0.43,0.375,0.36507936507936506
0.44375,0.44375,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3476047109926398,"[[40, 40], [49, 31]]",valence,0.4419844037775775,0.44375,0.4419844037775775,49,0.6125,,40,0.5,-0.11250000000000004,1.0326013272516685,-0.11321874375443253,subject_dependent,rbf_svm,0.449438202247191,0.43661971830985913,0.44363736621742755,0.44302896027852506,0.44375,0.4430289602785251,0.44375,0.44375,0.44375,0.45890624999999996,40,0.5,31,0.3875,0.5,0.5
0.51875,0.5708333333333333,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.30184402972789703,"[[27, 13], [64, 56]]",valence,0.5024031665253039,0.51875,0.5474978795589482,64,0.5333333333333333,,13,0.325,0.09941520467836262,0.8202042845697287,0.12386341581325934,subject_dependent,rbf_svm,0.2967032967032967,0.8115942028985508,0.7760939284431663,0.5541487498009238,0.51875,0.6828714763497372,0.5708333333333333,0.51875,0.51875,0.515,27,0.675,56,0.4666666666666667,0.625,0.6190476190476191
0.36875,0.355,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.5318258563961764,"[[18, 42], [59, 41]]",valence,0.3554305771608631,0.36875,0.37859479079414465,59,0.59,,42,0.7,-0.27444794952681395,2.2899899252310036,-0.2809889324503715,subject_dependent,rbf_svm,0.23376623376623376,0.4939759036144578,0.5924531682307184,0.3638710686903458,0.36875,0.39639727742137376,0.355,0.36875,0.36875,0.3411666666666666,18,0.3,41,0.41,0.25,0.2
0.54375,0.5283333333333333,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.25439691507287926,"[[28, 32], [41, 59]]",valence,0.5259547871261009,0.54375,0.5489163521246804,41,0.41,,32,0.5333333333333333,0.055016181229773475,0.7242222921234509,0.05539340353675406,subject_dependent,rbf_svm,0.4057971014492754,0.6483516483516484,0.6810924121789923,0.5270743749004618,0.54375,0.5573936932632584,0.5283333333333333,0.54375,0.54375,0.5668333333333334,28,0.4666666666666667,59,0.59,0.625,0.6190476190476191
0.675,0.475,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.2130458236345556,"[[3, 37], [15, 105]]",valence,0.45248749670966043,0.675,0.6270071071334562,15,0.125,,37,0.925,-0.061224489795918435,0.6189449179892875,-0.06851887098275317,subject_dependent,rbf_svm,0.16666666666666666,0.7394366197183099,0.7714058743677961,0.45305164319248825,0.675,0.5962441314553991,0.475,0.675,0.675,0.5452083333333334,3,0.075,105,0.875,0.625,0.38461538461538464
0.5375,0.525,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.29574134773610633,"[[20, 20], [54, 66]]",valence,0.4958269460057912,0.5375,0.5683018225174588,54,0.45,,20,0.5,0.038961038961038974,0.848319907163263,0.043423571211604964,subject_dependent,rbf_svm,0.2702702702702703,0.7674418604651163,0.7448727198132248,0.5188560653676932,0.5375,0.6431489629164048,0.525,0.5375,0.5375,0.5595833333333333,20,0.5,66,0.55,0.625,0.5636363636363637
0.5875,0.6357142857142857,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.2702017498489349,"[[80, 60], [6, 14]]",valence,0.5029184710977217,0.5875,0.656703069101864,6,0.3,,60,0.42857142857142855,0.1258278145695364,0.79525928211185,0.18004020182986738,subject_dependent,rbf_svm,0.9302325581395349,0.1891891891891892,0.15873285291095826,0.559710873664362,0.5875,0.8376021370207416,0.6357142857142857,0.5875,0.5875,0.5864285714285714,80,0.5714285714285714,14,0.7,0.75,0.6666666666666667
0.5,0.5,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.1}",0.2725253901568695,"[[52, 28], [52, 28]]",valence,0.48849104859335035,0.5,0.4884910485933503,52,0.65,,28,0.35,0.0,0.7457259916133612,0.0,subject_dependent,rbf_svm,0.5,0.5,0.5796078212122808,0.5,0.5,0.5,0.5,0.5,0.5,0.50890625,52,0.65,28,0.35,0.375,0.2727272727272727
0.59375,0.59375,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.28462574861827833,"[[40, 40], [25, 55]]",valence,0.5901477832512315,0.59375,0.5901477832512315,25,0.3125,,40,0.5,0.1875,0.8432225879472531,0.19088542889273333,subject_dependent,rbf_svm,0.6153846153846154,0.5789473684210527,0.7376174293420038,0.597165991902834,0.59375,0.597165991902834,0.59375,0.59375,0.59375,0.67671875,40,0.5,55,0.6875,0.5,0.5
0.525,0.6583333333333333,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.37134542227717215,"[[37, 3], [73, 47]]",valence,0.5231372549019608,0.525,0.5380392156862746,73,0.6083333333333333,,3,0.075,0.19999999999999996,1.3260300309055804,0.2958295987813787,subject_dependent,rbf_svm,0.33636363636363636,0.94,0.8876894603358952,0.6381818181818182,0.525,0.7890909090909091,0.6583333333333333,0.525,0.525,0.7050000000000001,37,0.925,47,0.39166666666666666,0.625,0.6190476190476191
0.9625,0.9633333333333334,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.06531699110103568,"[[58, 2], [4, 96]]",valence,0.9602583209140586,0.9625,0.9626179831097863,4,0.04,,2,0.03333333333333333,0.9205298013245033,0.2690709785238877,0.9208529501523341,subject_dependent,rbf_svm,0.9354838709677419,0.9795918367346939,0.998337201311828,0.9575378538512178,0.9625,0.9630513495720869,0.9633333333333334,0.9625,0.9625,0.9971666666666666,58,0.9666666666666667,96,0.96,1.0,1.0
0.85625,0.8783333333333334,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.13286795573503227,"[[79, 21], [2, 58]]",valence,0.8537302754481497,0.85625,0.8585297507850074,2,0.03333333333333333,,21,0.21,0.7115987460815048,0.4842508034760743,0.7326965938151487,subject_dependent,rbf_svm,0.9753086419753086,0.7341772151898734,0.8160549983316001,0.854742928582591,0.85625,0.8848843569307704,0.8783333333333334,0.85625,0.85625,0.9281666666666667,79,0.79,58,0.9666666666666667,0.875,0.873015873015873
0.61875,0.5716666666666667,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.2504286271071556,"[[23, 37], [24, 76]]",arousal,0.5717607827651265,0.61875,0.6072243429423896,24,0.24,,37,0.6166666666666667,0.14982578397212543,0.7214597931620792,0.15234726968114928,subject_dependent,rbf_svm,0.48936170212765956,0.672566371681416,0.7925296017117759,0.5809640369045378,0.61875,0.6038646205987572,0.5716666666666667,0.61875,0.61875,0.6596666666666667,23,0.38333333333333336,76,0.76,0.625,0.5636363636363637
0.49375,0.45499999999999996,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.38574167942643534,"[[18, 42], [39, 61]]",arousal,0.4543387646835923,0.49375,0.49100037893141346,39,0.39,,42,0.7,-0.09090909090909083,1.309318592695012,-0.09098338581650303,subject_dependent,rbf_svm,0.3157894736842105,0.5922330097087378,0.6548740403548167,0.45401124169647417,0.49375,0.48856668369954004,0.45499999999999996,0.49375,0.49375,0.45583333333333337,18,0.3,61,0.61,0.625,0.5636363636363637
0.61875,0.61875,"{""clf__C"": 100.0, ""clf__class_weight"": null, ""clf__gamma"": 0.1}",0.29349864914873064,"[[40, 40], [21, 59]]",arousal,0.6132968818098974,0.61875,0.6132968818098974,21,0.2625,,40,0.5,0.23750000000000004,1.035635310545318,0.24449562155269128,subject_dependent,rbf_svm,0.6557377049180327,0.5959595959595959,0.693902643462577,0.6258486504388143,0.61875,0.6258486504388143,0.61875,0.61875,0.61875,0.673046875,40,0.5,59,0.7375,0.625,0.6190476190476191
0.61875,0.5816666666666667,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.2563345381717189,"[[26, 34], [27, 73]]",arousal,0.5827455004061391,0.61875,0.6133876277200633,27,0.27,,34,0.5666666666666667,0.16723549488054612,0.7392888507800676,0.1680043887433964,subject_dependent,rbf_svm,0.49056603773584906,0.6822429906542056,0.7947700980025117,0.5864045141950274,0.61875,0.6103641333098219,0.5816666666666667,0.61875,0.61875,0.6628333333333334,26,0.43333333333333335,73,0.73,0.625,0.5636363636363637
0.61875,0.5416666666666666,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.24667150830846504,"[[14, 46], [15, 85]]",arousal,0.5252687387518848,0.61875,0.5779342380465975,15,0.15,,46,0.7666666666666667,0.09293680297397766,0.6961871123857268,0.1047272578819686,subject_dependent,rbf_svm,0.4827586206896552,0.648854961832061,0.7515305186904795,0.5658067912608581,0.61875,0.5865688339036589,0.5416666666666666,0.61875,0.61875,0.6186666666666666,14,0.23333333333333334,85,0.85,0.625,0.38461538461538464
0.44375,0.4458333333333333,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.30622440311360394,"[[53, 67], [22, 18]]",arousal,0.41579487179487173,0.44375,0.47969230769230764,22,0.55,,67,0.5583333333333333,-0.07878787878787885,0.8806452944592552,-0.09400319838808434,subject_dependent,rbf_svm,0.7066666666666667,0.21176470588235294,0.2710963709063934,0.4592156862745098,0.44375,0.5829411764705882,0.4458333333333333,0.44375,0.44375,0.5089583333333334,53,0.44166666666666665,18,0.45,0.375,0.36507936507936506
