accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.5,0.53,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.3360018649498828,"[[39, 21], [59, 41]]",valence,0.4999218627910611,0.5,0.5014846069698391,59,0.59,,21,0.35,0.053254437869822535,0.9725553566332259,0.05962357231202164,subject_dependent,rbf_svm,0.3979591836734694,0.6612903225806451,0.6781080468704732,0.5296247531270573,0.5,0.5625411454904542,0.53,0.5,0.5,0.5568333333333334,39,0.65,41,0.41,0.375,0.36507936507936506
0.54375,0.54375,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.3293584868221352,"[[56, 24], [49, 31]]",valence,0.5323323323323323,0.54375,0.5323323323323323,49,0.6125,,24,0.3,0.08750000000000002,1.0011563550201192,0.09211323729436766,subject_dependent,rbf_svm,0.5333333333333333,0.5636363636363636,0.558723144251525,0.5484848484848485,0.54375,0.5484848484848485,0.54375,0.54375,0.54375,0.51171875,56,0.7,31,0.3875,0.75,0.7333333333333334
0.5,0.30714285714285716,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.33126839400571606,"[[79, 61], [19, 1]]",valence,0.3441278950604632,0.5,0.5839311334289813,19,0.95,,61,0.4357142857142857,-0.20300751879699241,0.9611611804583712,-0.26183991855939326,subject_dependent,rbf_svm,0.8061224489795918,0.016129032258064516,0.08161299413740232,0.4111257406188282,0.5,0.707373271889401,0.30714285714285716,0.5,0.5,0.23142857142857143,79,0.5642857142857143,1,0.05,0.625,0.38461538461538464
0.575,0.575,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.2218325819240695,"[[26, 54], [14, 66]]",valence,0.5466666666666666,0.575,0.5466666666666666,14,0.175,,54,0.675,0.15000000000000002,0.6333788853347266,0.17320508075688773,subject_dependent,rbf_svm,0.65,0.55,0.8166789396758756,0.6000000000000001,0.575,0.6,0.575,0.575,0.575,0.7532812500000001,26,0.325,66,0.825,0.625,0.6190476190476191
0.6375,0.5433333333333333,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.27502411155413864,"[[92, 8], [50, 10]]",valence,0.5083704174613266,0.6375,0.5713604577240942,50,0.8333333333333334,,8,0.08,0.10077519379844957,0.9095827868467913,0.13278447282444406,subject_dependent,rbf_svm,0.647887323943662,0.5555555555555556,0.4668998350119783,0.6017214397496088,0.6375,0.6132629107981222,0.5433333333333333,0.6375,0.6375,0.5488333333333334,92,0.92,10,0.16666666666666666,0.625,0.38461538461538464
0.7625,0.6833333333333333,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.1804800405828829,"[[101, 19], [19, 21]]",valence,0.6833333333333333,0.7625,0.7625,19,0.475,,19,0.15833333333333333,0.3666666666666667,0.5451830322470179,0.36666666666666664,subject_dependent,rbf_svm,0.8416666666666667,0.525,0.48345080091596093,0.6833333333333333,0.7625,0.7625,0.6833333333333333,0.7625,0.7625,0.7247916666666666,101,0.8416666666666667,21,0.525,0.75,0.6666666666666667
0.46875,0.6125,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.30856049370446714,"[[36, 4], [81, 39]]",valence,0.46856316673830645,0.46875,0.4735453870501348,81,0.675,,4,0.1,0.13705583756345174,0.8492572503465257,0.21977383072747694,subject_dependent,rbf_svm,0.3076923076923077,0.9069767441860465,0.8289821207904906,0.6073345259391771,0.46875,0.7571556350626117,0.6125,0.46875,0.46875,0.5914583333333333,36,0.9,39,0.325,0.375,0.36507936507936506
0.53125,0.555,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.2881978250764871,"[[39, 21], [54, 46]]",valence,0.5303510625807208,0.53125,0.5354878478337443,54,0.54,,21,0.35,0.09909909909909909,0.7960929529392231,0.10794174501908893,subject_dependent,rbf_svm,0.41935483870967744,0.6865671641791045,0.6893366361200643,0.552961001444391,0.53125,0.5863625421280693,0.555,0.53125,0.53125,0.5546666666666666,39,0.65,46,0.46,0.5,0.4666666666666667
0.45,0.44999999999999996,"{""clf__C"": 100.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.333419460327954,"[[41, 39], [49, 31]]",valence,0.447843137254902,0.45,0.447843137254902,49,0.6125,,39,0.4875,-0.10000000000000009,0.9618733730824681,-0.10079052613579392,subject_dependent,rbf_svm,0.45555555555555555,0.44285714285714284,0.4514773724127913,0.44920634920634916,0.45,0.4492063492063492,0.44999999999999996,0.45,0.45,0.47328125,41,0.5125,31,0.3875,0.375,0.36507936507936506
0.46875,0.5291666666666667,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.28729649025478043,"[[26, 14], [71, 49]]",valence,0.4575405847393403,0.46875,0.4965298552112003,71,0.5916666666666667,,14,0.35,0.039548022598870025,0.7797251912455991,0.05169889620342157,subject_dependent,rbf_svm,0.26804123711340205,0.7777777777777778,0.8188364605741927,0.52290950744559,0.46875,0.6503436426116839,0.5291666666666667,0.46875,0.46875,0.5675,26,0.65,49,0.4083333333333333,0.5,0.5
