accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.475,0.51,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.30854294321889786,"[[39, 21], [63, 37]]",valence,0.47491795593061414,0.475,0.4732770745428973,63,0.63,,21,0.35,0.01754385964912286,0.8425934306074915,0.02014148736276902,subject_dependent,rbf_svm,0.38235294117647056,0.6379310344827587,0.6563025031131844,0.5101419878296146,0.475,0.5420892494929006,0.51,0.475,0.475,0.5424166666666667,39,0.65,37,0.37,0.375,0.36507936507936506
0.54375,0.54375,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.33669892889259634,"[[63, 17], [56, 24]]",valence,0.5149300220108808,0.54375,0.5149300220108808,56,0.7,,17,0.2125,0.08750000000000002,1.0711947787318739,0.10021497695896885,subject_dependent,rbf_svm,0.5294117647058824,0.5853658536585366,0.548040824263539,0.5573888091822095,0.54375,0.5573888091822095,0.54375,0.54375,0.54375,0.48203125,63,0.7875,24,0.3,0.625,0.5636363636363637
0.49375,0.3035714285714286,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.3290659183744952,"[[78, 62], [19, 1]]",valence,0.3411621168217172,0.49375,0.5789614152813787,19,0.95,,62,0.44285714285714284,-0.20446096654275103,0.942629334173976,-0.26592399563023356,subject_dependent,rbf_svm,0.8041237113402062,0.015873015873015872,0.080646062230125,0.409998363606611,0.49375,0.7055923744068073,0.3035714285714286,0.49375,0.49375,0.215,78,0.5571428571428572,1,0.05,0.625,0.38461538461538464
0.54375,0.54375,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.22792024148653695,"[[20, 60], [13, 67]]",valence,0.5006626480270189,0.54375,0.500662648027019,13,0.1625,,60,0.75,0.08750000000000002,0.6466774614341867,0.10812825880933104,subject_dependent,rbf_svm,0.6060606060606061,0.5275590551181102,0.8051001969995426,0.5668098305893581,0.54375,0.5668098305893581,0.54375,0.54375,0.54375,0.7439843749999999,20,0.25,67,0.8375,0.625,0.6190476190476191
0.625,0.5266666666666667,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.28219851980702515,"[[92, 8], [52, 8]]",valence,0.48231233822260566,0.625,0.5502588438308887,52,0.8666666666666667,,8,0.08,0.0625,0.9078641803335961,0.08606629658238704,subject_dependent,rbf_svm,0.6388888888888888,0.5,0.4480825974632976,0.5694444444444444,0.625,0.5868055555555556,0.5266666666666667,0.625,0.625,0.5398333333333334,92,0.92,8,0.13333333333333333,0.625,0.38461538461538464
0.75,0.6583333333333333,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.01}",0.18194376573957055,"[[101, 19], [21, 19]]",valence,0.66094511549057,0.75,0.7478279296461114,21,0.525,,19,0.15833333333333333,0.3220338983050848,0.5478303439319839,0.32221908170066815,subject_dependent,rbf_svm,0.8278688524590164,0.5,0.4895632546004955,0.6639344262295082,0.75,0.7459016393442623,0.6583333333333333,0.75,0.75,0.73375,101,0.8416666666666667,19,0.475,0.75,0.6666666666666667
0.55,0.5833333333333334,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.27798790479444185,"[[26, 14], [58, 62]]",valence,0.5260039499670837,0.55,0.5793285055957866,58,0.48333333333333334,,14,0.35,0.12195121951219512,0.7543792983421294,0.14451832825401997,subject_dependent,rbf_svm,0.30952380952380953,0.8157894736842105,0.8692090776112147,0.56265664160401,0.55,0.6892230576441103,0.5833333333333334,0.55,0.55,0.6379166666666667,26,0.65,62,0.5166666666666667,0.75,0.7333333333333334
0.525,0.55,"{""clf__C"": 10.0, ""clf__class_weight"": null, ""clf__gamma"": 0.01}",0.30950509692575945,"[[39, 21], [55, 45]]",valence,0.5243310905961508,0.525,0.5287904866218118,55,0.55,,21,0.35,0.08982035928143717,0.8885808301238113,0.09834215720608248,subject_dependent,rbf_svm,0.4148936170212766,0.6818181818181818,0.692982255011583,0.5483558994197292,0.525,0.5817214700193423,0.55,0.525,0.525,0.56575,39,0.65,45,0.45,0.5,0.4666666666666667
0.49375,0.49375,"{""clf__C"": 10.0, ""clf__class_weight"": null, ""clf__gamma"": 0.001}",0.3406072800738557,"[[37, 43], [38, 42]]",valence,0.49325513196480936,0.49375,0.4932551319648093,38,0.475,,43,0.5375,-0.012499999999999956,0.9630005481856386,-0.01252448582170299,subject_dependent,rbf_svm,0.49333333333333335,0.49411764705882355,0.4407751888068562,0.4937254901960785,0.49375,0.4937254901960785,0.49375,0.49375,0.49375,0.446875,37,0.4625,42,0.525,0.5,0.5
0.46875,0.5291666666666667,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.29042644219851455,"[[26, 14], [71, 49]]",valence,0.4575405847393403,0.46875,0.4965298552112003,71,0.5916666666666667,,14,0.35,0.039548022598870025,0.7889680981815416,0.05169889620342157,subject_dependent,rbf_svm,0.26804123711340205,0.7777777777777778,0.823640026911789,0.52290950744559,0.46875,0.6503436426116839,0.5291666666666667,0.46875,0.46875,0.5738541666666667,26,0.65,49,0.4083333333333333,0.5,0.5
0.325,0.30666666666666664,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.492055170409113,"[[14, 46], [62, 38]]",valence,0.309462915601023,0.325,0.33535805626598464,62,0.62,,46,0.7666666666666667,-0.36708860759493667,1.4678723079674665,-0.37485725492591593,subject_dependent,rbf_svm,0.18421052631578946,0.4523809523809524,0.5799278440042966,0.3182957393483709,0.325,0.3518170426065163,0.30666666666666664,0.325,0.325,0.2851666666666667,14,0.23333333333333334,38,0.38,0.25,0.2
0.56875,0.515,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.001}",0.24827284104095546,"[[18, 42], [27, 73]]",valence,0.5109634551495017,0.56875,0.5529900332225913,27,0.27,,42,0.7,0.03157894736842104,0.6990678677104339,0.03230291412348993,subject_dependent,rbf_svm,0.4,0.6347826086956522,0.6548510795223909,0.5173913043478261,0.56875,0.5467391304347826,0.515,0.56875,0.56875,0.5336666666666666,18,0.3,73,0.73,0.625,0.38461538461538464
