accuracy,balanced_accuracy,best_params,brier,confusion_matrix,dimension,f1_macro,f1_micro,f1_weighted,fn,fnr,fold,fp,fpr,kappa,log_loss,mcc,mode,model,npv,ppv,pr_auc,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,roc_auc,tn,tnr,tp,tpr,trial_accuracy,trial_f1_macro
0.46875,0.5083333333333333,"{""clf__C"": 10.0, ""clf__class_weight"": null, ""clf__gamma"": 0.00030000000000000003}",0.33627054800056533,"[[40, 20], [65, 35]]",valence,0.4682306940371457,0.46875,0.4640762463343108,65,0.65,,20,0.3333333333333333,0.01449275362318836,0.9457543343892578,0.016988239714587516,subject_dependent,rbf_svm,0.38095238095238093,0.6363636363636364,0.6492718679758107,0.5086580086580086,0.46875,0.5405844155844155,0.5083333333333333,0.46875,0.46875,0.5368333333333334,40,0.6666666666666666,35,0.35,0.375,0.36507936507936506
0.5,0.5,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.3347841025366762,"[[51, 29], [51, 29]]",valence,0.4903647077560121,0.5,0.49036470775601215,51,0.6375,,29,0.3625,0.0,0.9525028288484456,0.0,subject_dependent,rbf_svm,0.5,0.5,0.518601603664894,0.5,0.5,0.5,0.5,0.5,0.5,0.44468749999999996,51,0.6375,29,0.3625,0.5,0.5
0.6625,0.575,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.1945993574508855,"[[90, 30], [24, 16]]",valence,0.5706618962432917,0.6625,0.6699463327370304,24,0.6,,30,0.25,0.1428571428571429,0.5726037645377247,0.14350946197048195,subject_dependent,rbf_svm,0.7894736842105263,0.34782608695652173,0.466520309389814,0.568649885583524,0.6625,0.6790617848970253,0.575,0.6625,0.6625,0.6495833333333334,90,0.75,16,0.4,0.75,0.6666666666666667
0.54375,0.5183333333333333,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.268241341828989,"[[62, 38], [35, 25]]",valence,0.5179728447030663,0.54375,0.5458400396186703,35,0.5833333333333334,,38,0.38,0.0363036303630363,0.7492680605517428,0.03633213454280345,subject_dependent,rbf_svm,0.6391752577319587,0.3968253968253968,0.40452808782720495,0.5180003272786777,0.54375,0.548294059891998,0.5183333333333333,0.54375,0.54375,0.5715,62,0.62,25,0.4166666666666667,0.625,0.5636363636363637
0.4125,0.44666666666666666,"{""clf__C"": 30.0, ""clf__class_weight"": null, ""clf__gamma"": 0.00030000000000000003}",0.37746183972202074,"[[35, 25], [69, 31]]",valence,0.41213258286429016,0.4125,0.408458411507192,69,0.69,,25,0.4166666666666667,-0.09302325581395343,1.05774099346571,-0.10826639239215334,subject_dependent,rbf_svm,0.33653846153846156,0.5535714285714286,0.5579711845218197,0.4450549450549451,0.4125,0.472184065934066,0.44666666666666666,0.4125,0.4125,0.36541666666666667,35,0.5833333333333334,31,0.31,0.25,0.2
0.475,0.3142857142857143,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.32699630353760967,"[[74, 66], [18, 2]]",valence,0.34169278996865204,0.475,0.563871473354232,18,0.9,,66,0.4714285714285714,-0.18309859154929575,0.9223511885762017,-0.24848830496729013,subject_dependent,rbf_svm,0.8043478260869565,0.029411764705882353,0.08430534894500144,0.41687979539641945,0.475,0.7074808184143223,0.3142857142857143,0.475,0.475,0.26321428571428573,74,0.5285714285714286,2,0.1,0.5,0.3333333333333333
0.65625,0.65625,"{""clf__C"": 3.3333333333333335, ""clf__class_weight"": null, ""clf__gamma"": 0.0001}",0.21151057724023142,"[[39, 41], [14, 66]]",valence,0.6461742591773552,0.65625,0.6461742591773552,14,0.175,,41,0.5125,0.3125,0.6108199898527122,0.3319786733127199,subject_dependent,rbf_svm,0.7358490566037735,0.616822429906542,0.8192784355217779,0.6763357432551578,0.65625,0.6763357432551578,0.65625,0.65625,0.65625,0.7676562499999999,39,0.4875,66,0.825,0.625,0.6190476190476191
0.66875,0.7125,"{""clf__C"": 30.0, ""clf__class_weight"": null, ""clf__gamma"": 0.00030000000000000003}",0.2602472759948828,"[[75, 45], [8, 32]]",valence,0.6429624015830913,0.66875,0.6909393288703634,8,0.2,,45,0.375,0.32484076433121023,0.9512090494301072,0.3683198626217297,subject_dependent,rbf_svm,0.9036144578313253,0.4155844155844156,0.44571304156604696,0.6595994367078705,0.66875,0.7816069472695979,0.7125,0.66875,0.66875,0.7491666666666666,75,0.625,32,0.8,0.875,0.8545454545454545
0.66875,0.66875,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.00030000000000000003}",0.21978708861611498,"[[54, 26], [27, 53]]",valence,0.6687370600414079,0.66875,0.6687370600414079,27,0.3375,,26,0.325,0.3375,0.638597537656121,0.33752637027780713,subject_dependent,rbf_svm,0.6666666666666666,0.6708860759493671,0.7511167217839007,0.6687763713080168,0.66875,0.6687763713080168,0.66875,0.66875,0.66875,0.72875,54,0.675,53,0.6625,0.625,0.6190476190476191
0.7,0.7,"{""clf__C"": 30.0, ""clf__class_weight"": ""balanced"", ""clf__gamma"": 0.0001}",0.1889020348498227,"[[52, 28], [20, 60]]",valence,0.6992481203007519,0.7,0.6992481203007519,20,0.25,,28,0.35,0.4,0.5532607301825155,0.40201512610368484,subject_dependent,rbf_svm,0.7222222222222222,0.6818181818181818,0.7990073027164648,0.702020202020202,0.7,0.702020202020202,0.7,0.7,0.7,0.7849999999999999,52,0.65,60,0.75,0.625,0.6190476190476191
